system:index,area_km2,class,territory,year,.geo
3_6_0,400.08164696226225,1,1505908.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_7_0,64.1990975717177,1,1507805.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_0,177.12445826629542,1,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_0,196.26098098541473,1,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,366.5787173237343,1,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_0,28.65008806610115,1,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_0,166.92704610747992,1,1501725.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_0,120.31315988916026,1,1504455.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_0,227.13013537658884,1,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_0,106.65462927813633,1,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_0,403.3051927097595,1,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_0,76.10396895391784,1,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_0,187.18939341723672,1,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_0,214.57030217126564,1,1508357.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,402.7595206373868,1,1500602.0,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1_0,30.7544989636842,1,1500859.0,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_2_0,194.914809684633,1,1501725.0,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_3_0,146.99738510998705,1,1504455.0,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_4_0,263.98659510504353,1,1505486.0,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_5_0,118.94998820593307,1,1505650.0,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_6_0,409.4860759379089,1,1505908.0,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_7_0,78.53245417590279,1,1507805.0,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_8_0,237.68683789520549,1,1508159.0,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9_0,228.66685204230538,1,1508357.0,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,466.01937220227046,1,1500602.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1_0,37.349827286743405,1,1500859.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2_0,223.62617511462744,1,1501725.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3_0,157.9859985525541,1,1504455.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4_0,278.8205566275044,1,1505486.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_5_0,143.1393480917951,1,1505650.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_6_0,419.1791537823311,1,1505908.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_7_0,83.23932511584462,1,1507805.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_8_0,273.35091827722533,1,1508159.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_9_0,261.8680933079234,1,1508357.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_0,543.8827368562683,1,1500602.0,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_1_0,44.99141217785655,1,1500859.0,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_2_0,478.81267599579587,1,1501725.0,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_3_0,272.79312752124514,1,1504455.0,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_4_0,342.18746106738024,1,1505486.0,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_5_0,324.050526279113,1,1505650.0,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6_0,638.1788331610055,1,1505908.0,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_7_0,91.7424202230229,1,1507805.0,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8_0,480.9039190071291,1,1508159.0,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9_0,304.3057864272449,1,1508357.0,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_0,568.5850139848716,1,1500602.0,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1_0,57.10389140692084,1,1500859.0,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2_0,485.0020275147164,1,1501725.0,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3_0,276.85250599731836,1,1504455.0,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_4_0,388.92839346556804,1,1505486.0,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_5_0,325.5551293284291,1,1505650.0,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_6_0,646.8100698221377,1,1505908.0,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
